id,name,kcal
A0100101,大麥仁,343
A0110101,大麥片,352
A0120101,大麥仁粉,374
A0130101,麥茶,18
A0200101,小米,365
A0200201,糯小米,357
A0300101,小麥,338
A0310101,小麥胚芽,396
A0320101,去筋麵粉,354
A0320202,低筋麵粉,359
A0320303,中筋麵粉,357
A0320404,高筋麵粉,358
A0320505,全麥麵粉,342
A0320601,雜糧中筋麵粉,350
A0320702,雜糧高筋麵粉,350
A0350101,水餃皮,261
A0350201,春捲皮,237
A0350301,餛飩皮,268
A0351101,乾麵條,353
A0351201,油麵條,359
A0351301,紅蘿蔔麵,347
A0351401,通心麵,355
A0351501,菠菜條,351
A0351601,鍋燒意麵,473
A0351701,雞蛋麵,352
A0351801,刀削麵,265
A0351901,拉麵,290
A0352001,意麵,281
A0352101,衛生油麵,162
A0352201,金門黃麵,153
A0352301,冷凍烏龍麵,124
A0352401,鍋燒麵,119
A0352501,長麵線,306
A0352601,蚵仔麵線,303
A0352701,麵線,345
A0352801,雞絲麵,461
A0355101,麵筋,639
A0355201,麵腸,137
A0400101,白玉米,58
A0400201,紫玉米,157
A0400301,甜玉米,97
A0400401,雙色水果玉米,97
A0400501,糯玉米,165
A0400601,冷凍玉米粒,167
A0400701,玉米筍,26
A0410101,乾玉米粒,346
A0410201,玉米胚芽,354
A0420101,玉米粉,368
A0450101,玉米粒罐頭,83
A0450201,玉米醬罐頭,62
A05001,秈米平均值,355
A0500101,秈米(台中在來2號),354
A0500102,秈米(台中秈10號),357
A05002,粳米平均值,352
A0500201,粳米(台中189號),355
A0500202,粳米(台南11號),347
A0500203,粳米(台粳2號),355
A0500204,粳米(台粳8號),354
A0500205,粳米(台粳9號),352
A0500206,粳米(台農71號),355
A0500207,粳米(高雄139號),355
A0500208,粳米(高雄142號),352
A0500209,粳米(高雄145號),362
A0500301,越光米,338
A0500401,白秈糯米(台中糯70號秈米),360
A05005,白粳糯米平均值,357
A0500501,白粳糯米(台中189號粳米),357
A0500502,白粳糯米(台粳糯1號粳米),356
A0500601,野生紅米,352
A0500701,紅糯米,352
A0500801,黑秈糯米,350
A0500901,胚芽秈米(台中秈10號),357
A05010,胚芽粳米平均值,358
A0501001,胚芽粳米(台粳10號）,357
A0501002,胚芽粳米(台粳9號),360
A05011,發芽粳米平均值,348
